,PLZ,Venue_Name,Category,Latitude,Longitude,Address,Distance
492,60386,Celik Center - Internationale Lebensmittel,Supermarket,50.13170468,8.75930809,"Cassellastraße 27D, 60389 Frankfurt am Main",63
493,60386,H Casselastraße,Tram Station,50.129540662753854,8.759279251098633,"Hanauer Landstr. 513, 60386 Frankfurt am Main",197
494,60386,Sitzfeldt,Furniture / Home Store,50.131111,8.758281,"Cassellastraße 30-32, 60368 Frankfurt am Main",115
495,60386,A.T.U Frankfurt am Main - Fechenheim,Automotive Shop,50.129822,8.758092,"Hanauer Landstraße 505, 60386 Frankfurt am Main",205
496,60386,Escape Adventures,Escape Room,50.132366,8.765497,"Hanauer Landstr. 551, 60386 Fechenheim",418
497,60386,Tesla Motors Service Center,Automotive Shop,50.132993348991434,8.765798102091122,"Hanauer Landstrasse 553, 60386 Frankfurt am Main",463
498,60386,Budget Deutschland,Rental Car Location,50.134189,8.76892,"Hanauer Landstrasse 575, 60386 Frankfurt am Main",721
499,60386,Gartenbad Fechenheim,Gym Pool,50.12528698710903,8.765303566208507,"Konstanzer Str. 16, 60386 Fechenheim",770
500,60386,Aquanaut,Sporting Goods Shop,50.13196841208272,8.74724254370164,Deutschland,905
501,60386,Netto City,Supermarket,50.12490538,8.76885758,"Alt Fechenheim 74, 60386 Frankfurt am Main",955
502,60386,H Arthur-von-Weinberg-Steg,Tram Station,50.12517168541636,8.76940840651753,"Fechenheimer Leinpfad 53, 60386 Frankfurt am Main",960
503,60386,Fabriksporthalle,Athletics & Sports,50.13211467180489,8.746421607065319,Deutschland,965
504,60388,Riedbad Bergen-Enkheim,Water Park,50.151473225643926,8.76329038456943,"Fritz-Schubert-Ring 2, 60388 Frankfurt am Main",909
505,60388,REWE,Supermarket,50.1550683,8.7488479,"Marktstraße 1, 60388 Frankfurt am Main",200
506,60388,Schöne Aussicht,German Restaurant,50.1542766961685,8.755704276568876,"Im Sperber 24, 60388 Frankfurt am Main",296
507,60388,Pizzeria Carlo,Italian Restaurant,50.155415592269144,8.754072488061508,"Marktstr., 60388 Frankfurt am Main",187
508,60388,Eis Café Cristallo,Ice Cream Shop,50.155429712330026,8.753476775373766,"Marktstr. 47, 60388 Frankfurt am Main",149
509,60388,Bäcker Eifler,Food & Drink Shop,50.155173012196315,8.75207465094968,Deutschland,52
510,60388,Taverna Platea,Taverna,50.158574,8.752454,"Marktstr. 43, 60388 Frankfurt am Main",424
511,60388,Marktplatz Bergen,Plaza,50.158445198342726,8.758875521387013,Deutschland,657
512,60389,Café Coo Coo,Café,50.135953,8.701857,"Dortelweiler Str. 87, 60389 Frankfurt am Main",149
513,60389,Günthersburgpark,Park,50.13015277977972,8.702888488769531,"Hartmann-Ibach-Str. (Weidenbornstr.), 60389 Frankfurt am Main",500
514,60389,Cafe im Güntherburgspark,Café,50.13044568817379,8.704850975418813,"Weidenbornstr., 60385 Frankfurt am Main",503
515,60389,Kornkammer,Bakery,50.12832728091088,8.696888230847033,"Rohrbachstr. 27, 60389 Frankfurt am Main",794
516,60389,REWE,Supermarket,50.12798189800976,8.707926678049944,"Heidestr. 137, 60385 Frankfurt am Main",846
517,60389,No. 16,Italian Restaurant,50.127555577426506,8.703413763225003,"Löwengasse 27a, 60385 Frankfurt am Main",791
518,60389,Platz im Herzen,Bar,50.12865453990642,8.698813747307115,60389 Frankfurt am Main,705
519,60389,Marie Feines Eis,Ice Cream Shop,50.127622,8.706422,60385 Frankfurt am Main,837
520,60389,MokkaTeeria,Café,50.12767140944584,8.708793650915316,"Heidestr. 149, 60385 Frankfurt am Main",908
521,60389,Prager Botschaft,Czech Restaurant,50.128674,8.70697,"Im Prüfling 28, 60385 Frankfurt am Main",746
522,60389,Chairs,Restaurant,50.12848613127898,8.706999724054068,"Gronauer Str. 1, 60385 Frankfurt am Main",766
523,60389,Paparazzi Restaurant,Italian Restaurant,50.13371357843281,8.711728091428405,60389 Frankfurt am Main,692
524,60389,Apfelwein Solzer,Apple Wine Pub,50.12826433627976,8.711232199739797,"Berger Str. 260, 60385 Frankfurt am Main",960
525,60389,Wasserpark,Park,50.13660241003608,8.696934189360272,"Friedberger Landstr. 336, Frankfurt am Main",431
526,60389,Mancini - Eat Smart,French Restaurant,50.127929,8.710051,Frankfurt am Main,935
